Alimento,Proteinas,Grasas,Carbohidratos,Horario,Ingredientes,Horario_1,Horario_2,Calorias_Total_100g
Lomo saltado de carne con arroz,4.6,8.2,21.3,Almuerzo-Cena,CARNE-ARROZ-PAPA,Almuerzo,Cena,177.4
Milanesa con ensalada y arroz,5.2,5,22.4,Almuerzo-Cena,CARNE-ARROZ,Almuerzo,Cena,155.4
Mondonguito a la italiana con arroz,4.7,0.9,24.9,Almuerzo,CERDO-ARROZ-PAPA,Almuerzo,,126.5
Olluquito de carne con arroz integral,5.1,2.4,21.4,Almuerzo-Cena,ARROZ-POLLO,Almuerzo,Cena,127.6
Pachamanca a la olla con arroz,11,2.4,11.8,Almuerzo-Cena,CHOCLO-CARNE-CAMOTE-ARROZ,Almuerzo,Cena,112.8
Pallares con guiso de pollo y arroz,9.5,2.8,26.5,Almuerzo,POLLO-LENTEJA-ARROZ,Almuerzo,,169.2
Pallares con pollo y arroz,9.4,2.3,32,Almuerzo,LENTEJA-ARROZ-POLLO,Almuerzo,,186.3
Pescado con arroz,7.1,2.3,20.7,Almuerzo-Cena,PESCADO-ARROZ,Almuerzo,Cena,131.9
Pescado con menestra y arroz,7.4,5,21.3,Almuerzo-Cena,PESCADO-LENTEJA-ARROZ,Almuerzo,Cena,159.8
Picante de pollo con arroz,4.7,6.9,34.5,Almuerzo,POLLO-ARROZ-PAPA,Almuerzo,,218.9
Pollo a la norteña con arroz,8.4,2.1,19.7,Almuerzo-Cena,POLLO-ARROZ-YUCA,Almuerzo,Cena,131.3
Pollo a la olla con menestra y arroz,9.8,1.8,29.1,Almuerzo,POLLO-LENTEJA-ARROZ,Almuerzo,,171.8
Pollo a la olla con pure y arroz,6.1,1.5,13.5,Almuerzo-Cena,POLLO-PAPA-ARROZ,Almuerzo,Cena,91.9
Pollo a la plancha con ensalada y arroz,3.1,0.4,28.9,Almuerzo,POLLO-ARROZ,Almuerzo,,131.6
Pollo a la plancha con pure y arroz,9,3.6,15.4,Almuerzo-Cena,POLLO-PAPA-ARROZ,Almuerzo,Cena,130
Pollo al horno con arroz,7.6,2.1,22.2,Almuerzo-Cena,POLLO-ARROZ,Almuerzo,Cena,138.1
Pollo al horno con ensalada y arroz,9,4.4,14.3,Almuerzo-Cena,POLLO-ARROZ,Almuerzo,Cena,132.8
Pollo al horno con ensalada rusa y arroz,6.7,2.7,30.8,Almuerzo,POLLO-PAPA,Almuerzo,,174.3
Pollo al horno con menestra y arroz,10.7,3.3,23.6,Almuerzo,LENTEJA-POLLO-ARROZ,Almuerzo,,166.9
Pollo al horno con pure y arroz,7.3,3.2,20.1,Almuerzo-Cena,POLLO-PAPA-ARROZ,Almuerzo,Cena,138.4
Pollo al jugo con menestra y arroz,7.7,1.9,21.7,Almuerzo-Cena,POLLO-LENTEJA-ARROZ,Almuerzo,Cena,134.7
Pollo al mani con arroz,6.4,1.7,25.5,Almuerzo,POLLO-ARROZ,Almuerzo,,142.9
Pollo al mani con ensalada y arroz,3.2,7.7,20.9,Almuerzo-Cena,POLLO-ARROZ,Almuerzo,Cena,165.7
Pollo con arroz,9.2,2,19.9,Almuerzo-Cena,POLLO-ARROZ,Almuerzo,Cena,134.4
Pollo frito con arroz,6.2,5.6,24.8,Almuerzo,CON-PAN,Almuerzo,,174.4
Pollo frito con ensalada y arroz,3.5,5.3,22.4,Almuerzo-Cena,POLLO-PALTA-ARROZ,Almuerzo,Cena,151.3
Pollo frito con menestra y arroz,6.5,2.3,27.3,Almuerzo,POLLO-LENTEJA-ARROZ,Almuerzo,,155.9
Pure con asado y arroz,3.9,2.5,19.1,Almuerzo-Cena,PAPA-CERDO-ARROZ,Almuerzo,Cena,114.5
Pure con pavita y arroz,4.8,3.7,19.9,Almuerzo-Cena,PAVITA-ARROZ-PAPA,Almuerzo,Cena,132.1
Pure con pollo al sillao y arroz,5.4,1.9,28.4,Almuerzo,PAPA-POLLO-ARROZ,Almuerzo,,152.3
Pure con pollo y arroz,7.9,3.3,19.2,Almuerzo-Cena,PAPA-POLLO-ARROZ,Almuerzo,Cena,138.1
Seco a la norteña con arroz,5.3,1.2,28.7,Almuerzo,YUCA-CARNE-ARROZ,Almuerzo,,146.8
Seco a la norteña con menestra y arroz,5.5,1.8,22.9,Almuerzo-Cena,YUCA-CARNE-ARROZ,Almuerzo,Cena,129.8
Seco a la norteña con sarsa criolla y arroz,4.4,1.9,22.7,Almuerzo-Cena,YUCA-CARNE-LENTEJA-ARROZ,Almuerzo,Cena,125.5
Seco a la norteña de pollo con menestra y arroz,4,1.5,10.1,Almuerzo-Cena,YUCA-POLLO-LENTEJA-ARROZ,Almuerzo,Cena,69.9
Seco a la norteña de res con menestra y arroz,6,1.5,19.7,Almuerzo-Cena,CARNE-LENTEJA-ARROZ-YUCA,Almuerzo,Cena,116.3
Seco de cabrito con arroz,6.4,1.7,20.4,Almuerzo-Cena,CARNE-ARROZ,Almuerzo,Cena,122.5
Seco de cabrito con menestra y arroz,8,2.6,27.2,Almuerzo,CARNE-FRIJOL-ARROZ,Almuerzo,,164.2
Seco de cordero con menestra y arroz,7.8,4.1,23.2,Almuerzo,CARNE-FRIJOL-ARROZ,Almuerzo,,160.9
Seco de cordero con menestra con sarsa criolla y arroz,8,2.1,34.7,Almuerzo,CARNE-FRIJOL-ARROZ,Almuerzo,,189.7
Seco de pollo con arroz,7,2.1,21,Almuerzo-Cena,POLLO-ARROZ,Almuerzo,Cena,130.9
Seco de pollo con menestra y arroz,9.1,2.2,20.8,Almuerzo-Cena,POLLO-LENTEJA-ARROZ,Almuerzo,Cena,139.4
Seco de res a la huachana con menestra y arroz,7.3,2,18.9,Almuerzo-Cena,CARNE-ARROZ-FRIJOL,Almuerzo,Cena,122.8
Seco de res a la norteña con menestra y arroz,4.9,2.1,18.4,Almuerzo-Cena,YUCA-FRIJOL-CARNE-ARROZ,Almuerzo,Cena,112.1
Seco de res con menestra y arroz,6.2,2,24.8,Almuerzo,CARNE-FRIJOL-ARROZ,Almuerzo,,142
Seco de res con menestra con ensalada y arroz,5.7,2.2,20.7,Almuerzo-Cena,CARNE-FRIJOL-ARROZ,Almuerzo,Cena,125.4
Tacu tacu con filete de pollo,8.6,1.5,24.7,Almuerzo,ARROZ-FRIJOL-POLLO,Almuerzo,,146.7
Tacu tacu con lomito,7,6.3,19.7,Almuerzo-Cena,PAPA-CARNE-ARROZ-FRIJOL,Almuerzo,Cena,163.5
Tallarines rojos con pollo,7.8,2.3,20.7,Almuerzo-Cena,FIDEO-POLLO,Almuerzo,Cena,134.7
Tallarines verdes con pollo,9.3,6.9,18.8,Almuerzo-Cena,FIDEO-POLLO,Almuerzo,Cena,174.5
Tallarines verdes con pollo y crema a la huancaina,9.3,2.7,23.3,Almuerzo,FIDEO-PAPA-POLLO,Almuerzo,,154.7
Tallarines verdes con res,8.9,2.7,28.7,Almuerzo,FIDEO-CARNE,Almuerzo,,174.7
Avena y pan de maiz con palta,7.70,8.63,44.53,Desayuno-Cena,AVENA-PAN-PALTA,Desayuno,Cena,286.59
Yogurt y pan integral con queso,10.03,10.80,21.17,Desayuno-Cena,YOGURT-PAN-QUESO,Desayuno,Cena,222
Yogurt y galleta de avena y huevo duro sancochado,10.00,5.96,25.33,Desayuno-Cena,YOGURT-AVENA-HUEVO,Desayuno,Cena,194.96
Quinua y pan integral con pavita,14.37,7.60,40.70,Desayuno-Cena,QUINUA-PAN-PAVITA,Desayuno,Cena,288.68
Jugo natural de naranja y pan de molde con aceituna,2.77,11.60,27.47,Desayuno-Cena,NARANJA-PAN-ACEITUNA,Desayuno,Cena,225.36
Jugo natural de maracuya y pan de maiz con jamonada,8.10,12.77,25.20,Desayuno-Cena,MARACUYA-PAN-JAMONADA,Desayuno,Cena,248.13
Leche evaporada y pan integral con pulpa de pollo,12.27,6.60,22.13,Desayuno-Cena,LECHE-PAN-POLLO,Desayuno,Cena,197
Leche evaporada y pan de yema con queso fresco ,11.07,11.97,23.20,Desayuno-Cena,LECHE-PAN-QUESO,Desayuno,Cena,244.81
Jugo natural de cocona y huevo duro sancochado y manzana,4.37,3.33,5.13,Desayuno-Cena,COCONA-HUEVO-MANZANA,Desayuno,Cena,67.97
Quinua y pan de yema con atún,15.30,7.93,40.67,Desayuno-Cena,QUINUA-PAN-ATUN,Desayuno,Cena,295.25
Jugo natural de granadilla y pan de maiz con pavita y huevo sancochado,10.50,6.70,16.00,Desayuno-Cena,GRANADILLA-PAVO-PAN-HUEVO,Desayuno,Cena,166.3
Leche evaporada y pan de maiz con mantequilla,8.93,8.77,22.53,Desayuno-Cena,LECHE-PAN-MANTEQUILLA,Desayuno,Cena,204.77
Avena y pan integral con palta,8.17,8.73,44.13,Desayuno-Cena,AVENA-PAN-PALTA,Desayuno,Cena,287.77
Jugo natural de naranja y pan integral con queso,9.10,9.77,21.56,Desayuno-Cena,NARANJA-PAN-QUESO,Desayuno,Cena,210.57
Yogurt y croquetas de atún  y mandarina,9.00,4.50,4.43,Desayuno-Cena,YOGURT-ATUN-MANDARINA,Desayuno,Cena,94.22
Jugo natural de maracuya y pan de maiz con palta,3.43,7.10,26.13,Desayuno-Cena,MARACUYA-PAN-PALTA,Desayuno,Cena,182.14
Leche evaporada y pan de yema con palta,5.80,9.43,23.97,Desayuno-Cena,LECHE-PAN-PALTA,Desayuno,Cena,203.95
Jugo natural de naranja y pan de molde con palta,3.07,5.07,26.90,Desayuno-Cena,NARANJA-PAN-PALTA,Desayuno,Cena,165.51
Yogurt y pan integral con palta,4.77,8.27,21.93,Desayuno-Cena,YOGURT-PAN-PALTA,Desayuno,Cena,181.23
Quinua y pan de yema con palta,8.23,8.80,42.53,Desayuno-Cena,QUINUA-PAN-PALTA,Desayuno,Cena,282.24
Avena y pan de maiz con palta y naranja,5.93,6.53,35.93,Cena-Desayuno,AVENA-PAN-PALTA-NARANJA,Cena,Desayuno,226.21
Yogurt y pan integral con queso y platano de seda,8.55,5.10,20.45,Cena-Desayuno,YOGURT-PAN-QUESO-PLATANO,Cena,Desayuno,161.9
Yogurt y galleta de avena y uva blanca,5.81,2.72,28.19,Cena-Desayuno,YOGURT-AVENA-UVA,Cena,Desayuno,160.48
Quinua y pan integral con pavita y platano isla,9.95,6.53,33.15,Cena-Desayuno,QUINUA-PAN-PAVITA-PLATANO,Cena,Desayuno,231.17
Jugo natural de naranja y pan de maiz con jamonada,6.67,10.33,21.08,Cena-Desayuno,NARANJA-PAN-JAMONADA,Cena,Desayuno,203.97
Jugo natural de maracuya y pan de maiz con jamonada,6.72,10.30,23.63,Cena-Desayuno,MARACUYA-PAN-JAMONADA,Cena,Desayuno,214.1
Leche evaporada y pan de maiz con pulpa de pollo,12.26,6.60,22.13,Cena-Desayuno,LECHE-PAN-POLLO,Cena,Desayuno,196.96
Leche evaporada y pan de yema con queso fresco y naranja,8.45,9.03,19.93,Cena-Desayuno,LECHE-PAN-QUESO-NARANJA,Cena,Desayuno,194.79
Jugo natural de cocona y pan de maiz con huevo duro sancochado y manzana,5.20,4.68,18.03,Cena-Desayuno,COCONA-PAN-HUEVO-MANZANA,Cena,Desayuno,135.04
Quinua y pan de yema con atún y mandarina,10.50,6.83,29.88,Cena-Desayuno,QUINUA-PAN-ATUN-MANDARINA,Cena,Desayuno,222.99
Jugo natural de granadilla y pan de maiz con pavita y huevo sancochado,10.50,6.70,16.00,Cena-Desayuno,GRANADILLA-PAN-PAVO-HUEVO,Cena,Desayuno,166.3
Quinua con trozos de piña y pan con mantequilla ,4.97,29.03,25.50,Cena-Desayuno,QUINUA-PIÑA-MANTEQUILLA,Cena,Desayuno,383.15
Avena y pan de maiz con palta y trozos de papaya,5.88,6.50,35.45,Cena-Desayuno,AVENA-PAN-PALTA-PAPAYA,Cena,Desayuno,223.82
Jugo natural de naranja y pan integral con huevo sancochado y mandarina,5.81,4.85,17.50,Cena-Desayuno,NARANJA-PAN-HUEVO-MANDARINA,Cena,Desayuno,136.89
Yogurt y croquetas de atún  y trozos de papaya,8.93,4.43,4.30,Cena-Desayuno,YOGURT-ATUN-PAPAYA,Cena,Desayuno,92.79
Jugo natural de naranja y pan de tres granos con palta y mango,2.85,3.85,16.98,Cena-Desayuno,NARANJA-PAN-PALTA-MANGO,Cena,Desayuno,113.97
Leche evaporada y pan de yema con pavita y manzana,9.10,5.98,20.23,Cena-Desayuno,LECHE-PAN-PAVO-MANZANA,Cena,Desayuno,171.14
